Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
broken_generic_doctor_improprieties_ed283277		Well, I was not very polite here.	game/scripts/broken/broken_generic_choices.rpy	22	"[what]"
broken_generic_doctor_improprieties_ef3dbd1c		I should watch what I am saying, shouldn't I?	game/scripts/broken/broken_generic_choices.rpy	22	"[what]"
broken_generic_doctor_improprieties_6342e211		Blast it, I did it again. I really ought to be more careful.	game/scripts/broken/broken_generic_choices.rpy	30	"[what]"
broken_generic_doctor_improprieties_51f26622		I cannot believe I was rude again.	game/scripts/broken/broken_generic_choices.rpy	36	"[what]"
broken_generic_doctor_improprieties_9c77bc89		I must sound like an absolute tosser to him now.	game/scripts/broken/broken_generic_choices.rpy	36	"[what]"
broken_generic_other_guests_friday_e308637b	broken	The other guests? You mean Miss Marsh, I presume?	game/scripts/broken/broken_generic_choices.rpy	51	broken "[what]"
broken_generic_other_guests_friday_da7f777f	doctor	Well, yes, of course. She is the only one we have met so far.	game/scripts/broken/broken_generic_choices.rpy	55	doctor "[what]"
broken_generic_other_guests_friday_03afc0d7	broken	Right.	game/scripts/broken/broken_generic_choices.rpy	59	broken "[what]"
broken_generic_other_guests_friday_e9feeb17	broken	I am not sure. She was very quiet during our journey.	game/scripts/broken/broken_generic_choices.rpy	59	broken "[what]"
broken_generic_other_guests_friday_2a9c6033	broken	But being alone with men around her must have made her uneasy.	game/scripts/broken/broken_generic_choices.rpy	59	broken "[what]"
broken_generic_other_guests_friday_offended_7fb49fe1	doctor	Well, or it might be your... your...	game/scripts/broken/broken_generic_choices.rpy	78	doctor "[what]"
broken_generic_other_guests_friday_offended_8aee9bb0	broken	My what?	game/scripts/broken/broken_generic_choices.rpy	82	broken "[what]"
broken_generic_other_guests_friday_offended_950d5369	doctor	No, nothing.	game/scripts/broken/broken_generic_choices.rpy	86	doctor "[what]"
broken_generic_other_guests_friday_offended_fe869103		He may not say anything, but he understands very well what I meant.	game/scripts/broken/broken_generic_choices.rpy	90	"[what]"
broken_generic_other_guests_friday_not_offended_1db87684	broken	Of course, what else could that be.	game/scripts/broken/broken_generic_choices.rpy	101	broken "[what]"
broken_generic_weather_friday_4d2fe2da	broken	It is not the ideal weather, but there is no reason to lose sleep over it, is there?	game/scripts/broken/broken_generic_choices.rpy	110	broken "[what]"
broken_generic_background_5b9c0613	broken	There is not much to say, I am afraid.	game/scripts/broken/broken_generic_choices.rpy	119	broken "[what]"
broken_generic_background_77b3c0fd	broken	I am a mechanic. I have been doing this since the end of the war.	game/scripts/broken/broken_generic_choices.rpy	119	broken "[what]"
broken_generic_background_not_offended_7d8cbbbe	broken	Thank you.	game/scripts/broken/broken_generic_choices.rpy	137	broken "[what]"
broken_generic_background_not_offended_c9e820cb	broken	It is not saving lives, but I like it well enough.	game/scripts/broken/broken_generic_choices.rpy	137	broken "[what]"
broken_generic_background_offended_1_e61ab54d	broken	Well yes, I was a famous actor before.	game/scripts/broken/broken_generic_choices.rpy	148	broken "[what]"
broken_generic_background_offended_1_8b7deb9a	broken	Sadly I can't do that anymore.	game/scripts/broken/broken_generic_choices.rpy	148	broken "[what]"
broken_generic_background_offended_2_3fab306b	broken	No, of course not.	game/scripts/broken/broken_generic_choices.rpy	165	broken "[what]"
broken_generic_background_offended_2_5866d6d5	broken	I was obviously joking.	game/scripts/broken/broken_generic_choices.rpy	165	broken "[what]"
broken_generic_background_offended_2_82952855		Then he gives me a weird look.	game/scripts/broken/broken_generic_choices.rpy	171	"[what]"
broken_generic_heroic_act_19cb6610	broken	Well, I suppose it is related to what I did in the war.	game/scripts/broken/broken_generic_choices.rpy	182	broken "[what]"
broken_generic_heroic_act_ae1fa4e8	broken	But there were a lot of heroic acts that happened at that time.	game/scripts/broken/broken_generic_choices.rpy	182	broken "[what]"
broken_generic_heroic_act_b56eb771	broken	I am not sure mine was particularly exceptional.	game/scripts/broken/broken_generic_choices.rpy	182	broken "[what]"
broken_generic_heroic_act_85f7ed26	broken	I suppose I am here for a different reason.	game/scripts/broken/broken_generic_choices.rpy	182	broken "[what]"
broken_generic_heroic_act_offended_008f68f4		He looks at me with a blank stare.	game/scripts/broken/broken_generic_choices.rpy	203	"[what]"
broken_generic_heroic_act_offended_94366c62	broken	Is it not obvious?	game/scripts/broken/broken_generic_choices.rpy	207	broken "[what]"
broken_generic_heroic_act_offended_7d84de56	broken	My ... "condition" makes my actions more memorable than others'.	game/scripts/broken/broken_generic_choices.rpy	207	broken "[what]"
broken_generic_heroic_act_offended_c81d76c9	broken	But I really do not want to talk about it.	game/scripts/broken/broken_generic_choices.rpy	207	broken "[what]"
broken_generic_heroic_act_offended_2148d698	doctor	No, of course.	game/scripts/broken/broken_generic_choices.rpy	215	doctor "[what]"
broken_generic_manor_375a5026	broken	It is a decent-sized house.	game/scripts/broken/broken_generic_choices.rpy	228	broken "[what]"
broken_generic_manor_85772fd9	broken	Probably originally for a wealthy local landowner.	game/scripts/broken/broken_generic_choices.rpy	228	broken "[what]"
broken_generic_manor_2426b9d3	broken	Though it is not large enough for an important aristocrat like a Duke or an Earl.	game/scripts/broken/broken_generic_choices.rpy	228	broken "[what]"
broken_generic_manor_a62357ab	broken	I do not know much about this Lady Claythorn, but her family are probably squires or baronets.	game/scripts/broken/broken_generic_choices.rpy	228	broken "[what]"
broken_generic_manor_1e492207	broken	Unless they are just wealthy industrialists and they added the "Lady" to lend some prestige to their name.	game/scripts/broken/broken_generic_choices.rpy	228	broken "[what]"
broken_generic_manor_d42f60f2	broken	That would be quite outrageous if that were the case.	game/scripts/broken/broken_generic_choices.rpy	228	broken "[what]"
broken_generic_manor_a974b189	doctor	Really? I would not have thought of that.	game/scripts/broken/broken_generic_choices.rpy	242	doctor "[what]"
